date,open,high,low,close,volume,ups_and_downs,quote_change
2020/5/29,10921.16,10965.03,10861.9,10942.16,21560391,-2.03,-0.02
2020/6/1,10971.4,11109.29,10971.4,11079.02,16956374,136.86,1.25
2020/6/2,11109.27,11170.49,11102.97,11127.93,18240927,48.91,0.44
2020/6/3,11182.52,11330.52,11182.52,11320.16,21459499,192.23,1.73
2020/6/4,11373.94,11425.42,11341.58,11393.23,20365576,73.07,0.65
2020/6/5,11418.01,11482.36,11411.94,11479.4,18115637,86.17,0.76
2020/6/8,11539,11631.89,11528.44,11610.32,20448347,130.92,1.14
2020/6/9,11600.61,11640.45,11537.38,11637.11,17555199,26.79,0.23
2020/6/10,11635.99,11740.9,11621.02,11720.16,19195693,83.05,0.71
2020/6/11,11738.49,11771.12,11516.59,11535.77,24109573,-184.39,-1.57
2020/6/12,11406.54,11442.3,11244.64,11429.94,19849067,-105.83,-0.92
2020/6/15,11436.28,11469.84,11299.45,11306.26,17840362,-123.68,-1.08
2020/6/16,11380.67,11542.25,11380.67,11511.64,18311189,205.38,1.82
2020/6/17,11525.5,11550.32,11482.32,11534.59,17568996,22.95,0.2
2020/6/18,11534.2,11567.42,11485.39,11548.33,18590644,13.74,0.12
2020/6/19,11557.27,11584.88,11542.37,11549.86,25238161,1.53,0.01
2020/6/22,11553.91,11632.88,11553.91,11572.93,18348162,23.07,0.2
2020/6/23,11618.42,11679.4,11530.85,11612.36,20650697,39.43,0.34
2020/6/24,11647.86,11701.23,11637.79,11660.67,20329393,48.31,0.42
2020/6/29,11608.8,11608.8,11500.65,11542.62,20932535,-118.05,-1.01
2020/6/30,11563.6,11638,11563.6,11621.24,19656007,78.62,0.68
2020/7/1,11622.64,11736.39,11622.64,11703.42,19305625,82.18,0.71
2020/7/2,11694.1,11805.21,11690.95,11805.14,19130988,101.72,0.87
2020/7/3,11857.9,11933.59,11857.9,11909.16,21887974,104.02,0.88
2020/7/6,11941.84,12116.7,11941.84,12116.7,25207946,207.54,1.74
2020/7/7,12176.79,12249.95,12028.57,12092.97,27750654,-23.73,-0.2
2020/7/8,12086.13,12190.27,12083.84,12170.19,24267639,77.22,0.64
2020/7/9,12222.9,12273.43,12181.34,12192.69,25272757,22.5,0.18
2020/7/10,12250.44,12253.58,12030.2,12073.68,26102049,-119.01,-0.98
2020/7/13,12109.61,12216.24,12109.61,12211.56,21113205,137.88,1.14
2020/7/14,12202.89,12228.31,12143.91,12209.01,20536988,-2.55,-0.02
2020/7/15,12233.99,12320.48,12162.52,12202.85,24042729,-6.16,-0.05
2020/7/16,12173.04,12220.93,12107.04,12157.74,19961927,-45.11,-0.37
2020/7/17,12195.72,12266.93,12144.62,12181.56,20027106,23.82,0.2
2020/7/20,12205.25,12221.33,12065.8,12174.54,17643935,-7.02,-0.06
2020/7/21,12242.32,12450.16,12242.32,12397.55,22562341,223.01,1.83
2020/7/22,12389.76,12486.95,12389.4,12473.27,22625657,75.72,0.61
2020/7/23,12423.02,12429.76,12347.86,12413.04,22815020,-60.23,-0.48
2020/7/24,12467.43,12502.84,12266.55,12304.04,26842348,-109,-0.88
2020/7/27,12618.69,12686.36,12586.91,12588.3,25661220,284.26,2.31
2020/7/28,12951.72,13031.7,12533.19,12586.73,34892281,-1.57,-0.01
2020/7/29,12530.74,12660.87,12488.01,12540.97,22122051,-45.76,-0.36
2020/7/30,12691.86,12769.47,12616.83,12722.92,21570748,181.95,1.45
2020/7/31,12653.46,12733.48,12635.71,12664.8,21043613,-58.12,-0.46
2020/8/3,12642.73,12673.02,12506.59,12513.03,23330500,-151.77,-1.2
2020/8/4,12577.88,12709.92,12577.88,12709.92,21356321,196.89,1.57
2020/8/5,12762.34,12816.39,12739.99,12802.3,24082438,92.38,0.73
2020/8/6,12894.24,12971.87,12851.2,12913.5,26209261,111.2,0.87
2020/8/7,12901.43,12912.63,12791.18,12828.87,24019655,-84.63,-0.66
2020/8/10,12786.8,12933.16,12786.8,12894,21632215,65.13,0.51
2020/8/11,12856.46,12906.01,12780.19,12780.19,20666780,-113.81,-0.88
2020/8/12,12713.63,12730.96,12625.54,12670.35,21894901,-109.84,-0.86
2020/8/13,12758.87,12812.8,12717.13,12763.13,23949317,92.78,0.73
2020/8/14,12709.97,12801.31,12679.19,12795.46,21458597,32.33,0.25
2020/8/17,12813.94,12956.11,12800.69,12956.11,22285866,160.65,1.26
2020/8/18,12974.96,12981.58,12840.25,12872.14,25045142,-83.97,-0.65
2020/8/19,12904.84,12950.11,12778.64,12778.64,25558445,-93.5,-0.73
2020/8/20,12764.75,12764.75,12144.76,12362.64,35246683,-416,-3.26
2020/8/21,12462.52,12638.65,12462.52,12607.84,22638228,245.2,1.98
2020/8/24,12629.78,12702.94,12567.95,12647.13,20594656,39.29,0.31
2020/8/25,12706.4,12814.56,12698.85,12758.25,19960820,111.12,0.88
2020/8/26,12768.96,12833.29,12734.69,12833.29,18017153,75.04,0.59
2020/8/27,12888.65,12960.68,12786.45,12797.31,21915108,-35.98,-0.28
2020/8/28,12759.3,12799.16,12674.57,12728.85,20965411,-68.46,-0.53
2020/8/31,12763.44,12831.38,12591.45,12591.45,25160394,-137.4,-1.08
2020/9/1,12617.39,12703.28,12565.83,12703.28,23068954,111.83,0.89
2020/9/2,12772.43,12802.61,12646.47,12699.5,21237271,-3.78,-0.03
2020/9/3,12774.97,12857.79,12732.32,12757.97,23840594,58.47,0.46
2020/9/4,12645.92,12655.67,12559.78,12637.95,23417018,-120.02,-0.94
2020/9/7,12645.93,12725.05,12575.36,12601.4,22820831,-36.55,-0.29
2020/9/8,12637.42,12702.55,12614.72,12663.56,20587658,62.16,0.49
2020/9/9,12592.18,12616.57,12480.5,12608.58,21016473,-54.98,-0.43
2020/9/10,12665.74,12708.64,12650.4,12691.75,19982483,83.17,0.66
2020/9/11,12697.46,12701.79,12616.68,12675.95,19192650,-15.8,-0.12
2020/9/14,12680.41,12793.07,12680.41,12787.82,18001754,111.87,0.88
2020/9/15,12787.42,12857.73,12773.23,12845.65,18889378,57.83,0.45
2020/9/16,12989.81,13021.68,12948.72,12976.76,21053875,131.11,1.02
2020/9/17,12920.15,12972.52,12851.52,12872.74,18951357,-104.02,-0.8
2020/9/18,12858.6,12927.81,12841.09,12875.62,20519375,2.88,0.02
2020/9/21,12874.61,12952.31,12795.09,12795.12,17536740,-80.5,-0.63
2020/9/22,12786.91,12786.91,12632.74,12645.51,17426480,-149.61,-1.17
2020/9/23,12656.3,12700.89,12548.07,12583.88,17552610,-61.63,-0.49
2020/9/24,12487.48,12487.48,12264.38,12264.38,24593688,-319.5,-2.54
2020/9/25,12312.94,12385.81,12149.81,12232.91,21226914,-31.47,-0.26
2020/9/28,12282.36,12462.76,12282.36,12462.76,15601785,229.85,1.88
2020/9/29,12488.1,12571.34,12429.72,12467.73,16736557,4.97,0.04
2020/9/30,12483.65,12568.68,12466.58,12515.61,13872645,47.88,0.38
2020/10/5,12567.88,12637.62,12519.12,12548.28,14912190,32.67,0.26
2020/10/6,12644.09,12706.39,12644.09,12704.23,16585479,155.95,1.24
2020/10/7,12667.51,12774.36,12619.81,12746.37,16499722,42.14,0.33
2020/10/8,12832.54,12887.19,12818.01,12887.19,21110932,140.82,1.1
2020/10/12,12959.15,12997.79,12898.89,12955.91,23257252,68.72,0.53
2020/10/13,12988.44,12994.66,12857.1,12947.13,19097308,-8.78,-0.07
2020/10/14,12927.09,12960,12895.79,12919.31,20070323,-27.82,-0.21
2020/10/15,12892.29,12909.11,12786.26,12827.82,18230841,-91.49,-0.71
2020/10/16,12814.16,12896.3,12750.37,12750.37,18744450,-77.45,-0.6
2020/10/19,12803.32,12911.41,12803.32,12908.34,16510569,157.97,1.24
2020/10/20,12889.99,12917.75,12862.37,12862.37,14819815,-45.97,-0.36
2020/10/21,12889.88,12942.12,12846.42,12877.25,17007982,14.88,0.12
2020/10/22,12854.97,12917.03,12827.4,12917.03,17534602,39.78,0.31
2020/10/23,12945.12,12963.26,12875.23,12898.82,15262519,-18.21,-0.14
2020/10/26,12923.55,12971.58,12894.18,12909.03,16488733,10.21,0.08
2020/10/27,12867.77,12884.32,12821.07,12875.01,17109078,-34.02,-0.26
2020/10/28,12853.76,12879.98,12761.33,12793.75,17839323,-81.26,-0.63
2020/10/29,12687.64,12699.82,12583.37,12662.91,18918131,-130.84,-1.02
2020/10/30,12651.35,12656.29,12546.34,12546.34,19992127,-116.57,-0.92
2020/11/2,12565.32,12594.34,12480.66,12591.31,16640272,44.97,0.36
2020/11/3,12641.28,12760.14,12641.28,12736.01,16803775,144.7,1.15
2020/11/4,12766.86,12885.28,12736.02,12867.9,19363558,131.89,1.04
2020/11/5,12878.01,12918.8,12840.4,12918.8,17632465,50.9,0.4
2020/11/6,12952.49,12999.16,12927.3,12973.53,18520504,54.73,0.42
2020/11/9,13053.98,13149.9,13048.67,13127.47,22324357,153.94,1.19
2020/11/10,13090.65,13142.22,13022.92,13081.72,25158235,-45.75,-0.35
2020/11/11,13067.04,13262.19,13067.04,13262.19,24318768,180.47,1.38
2020/11/12,13324.86,13324.86,13193.74,13221.78,22631327,-40.41,-0.3
2020/11/13,13221.8,13273.33,13170.12,13273.33,18109625,51.55,0.39
2020/11/16,13356.74,13551.83,13356.74,13551.83,23713462,278.5,2.1
2020/11/17,13723.77,13780.12,13593.01,13593.01,23948270,41.18,0.3
2020/11/18,13628.42,13773.29,13608.72,13773.29,23458031,180.28,1.33
2020/11/19,13775.26,13785.92,13700.04,13722.43,20977515,-50.86,-0.37
2020/11/20,13702.59,13726.22,13666.07,13716.44,22119519,-5.99,-0.04
2020/11/23,13793.55,13921.16,13793.55,13878.01,23925600,161.57,1.18
2020/11/24,13918.84,13951.17,13798.32,13807.13,26672341,-70.88,-0.51
2020/11/25,13860.95,13893.2,13731.81,13738.83,26361200,-68.3,-0.49
2020/11/26,13763.79,13856.76,13763.79,13845.66,22149438,106.83,0.78
2020/11/27,13833.21,13885.01,13811.81,13867.09,24085842,21.43,0.15
2020/11/30,13917.65,13969.39,13722.89,13722.89,40968646,-144.2,-1.04
2020/12/1,13810.55,13885.67,13749.71,13885.67,26139108,162.78,1.19
2020/12/2,13970.51,13995.7,13894.7,13989.14,29021221,103.47,0.75
2020/12/3,13988.49,14049.58,13940.07,13977.09,27057174,-12.05,-0.09
2020/12/4,14010.17,14149.56,14010.17,14132.44,29063090,155.35,1.11
2020/12/7,14230,14306.87,14142.02,14256.6,33539008,124.16,0.88
2020/12/8,14251.94,14367,14184.58,14360.4,28263183,103.8,0.73
2020/12/9,14336.69,14427.41,14336.69,14390.14,31157207,29.74,0.21
2020/12/10,14295.15,14319.38,14191.85,14249.49,30751044,-140.65,-0.98
2020/12/11,14298.59,14353.17,14081.42,14261.69,32355854,12.2,0.09
2020/12/14,14238.92,14270.34,14182.25,14211.05,23522316,-50.64,-0.36
2020/12/15,14206.33,14256.55,14053.35,14068.52,27769980,-142.53,-1
2020/12/16,14145.24,14339.5,14145.24,14304.46,25246300,235.94,1.68
2020/12/17,14326.16,14338.4,14213.49,14258.93,23006095,-45.53,-0.32
2020/12/18,14268.13,14329.12,14245.6,14249.96,24930415,-8.97,-0.06
2020/12/21,14273.79,14384.96,14166.89,14384.96,25932846,135,0.95
2020/12/22,14348.11,14411.93,14175.69,14177.46,29210635,-207.5,-1.44
2020/12/23,14180.7,14247.79,14134.87,14223.09,22144281,45.63,0.32
2020/12/24,14256.29,14324.42,14256.29,14280.28,22412861,57.19,0.4
2020/12/25,14306.98,14400.83,14296.97,14331.42,21408871,51.14,0.36
2020/12/28,14363.45,14483.07,14363.45,14483.07,25219870,151.65,1.06
2020/12/29,14500.91,14547.07,14435.03,14472.05,28798441,-11.02,-0.08
2020/12/30,14485.97,14695.44,14476.69,14687.7,26372347,215.65,1.49
2020/12/31,14704.53,14760.06,14646.33,14732.53,26068222,44.83,0.31
2021/1/4,14720.25,14937.13,14720.25,14902.03,34954826,169.5,1.15
2021/1/5,14913.64,15000.03,14861.99,15000.03,35008892,98,0.66
2021/1/6,15145.85,15197.68,14837,14983.13,43865627,-16.9,-0.11
2021/1/7,15059.52,15270.4,15049.86,15214,34242640,230.87,1.54
2021/1/8,15365.13,15463.95,15275.38,15463.95,40084478,249.95,1.64
2021/1/11,15425.58,15557.3,15395.73,15557.3,32977488,93.35,0.6
